Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
203,0.324434,0.454779,0.463982,0.433374,0.811451,0.434754,
204,0.32681,0.454748,0.466038,0.43461,0.813289,0.436746,
205,0.327687,0.456262,0.466207,0.435146,0.813709,0.437732,
206,0.328239,0.454845,0.46337,0.438364,0.814004,0.439762,
207,0.328298,0.455764,0.458885,0.439688,0.813348,0.442955,
208,0.33018,0.452451,0.458384,0.439946,0.816578,0.441843,
209,0.328799,0.458374,0.469663,0.442438,0.810606,0.441626,
210,0.326873,0.447739,0.470578,0.441875,0.809426,0.443059,
211,0.33038,0.447258,0.464446,0.440174,0.809799,0.440583,
212,0.329798,0.448224,0.480135,0.438096,0.811709,0.441899,
213,0.323505,0.454267,0.479251,0.440906,0.814186,0.443493,
214,0.323764,0.452143,0.47067,0.439328,0.813516,0.44303,
215,0.331807,0.453401,0.456888,0.437644,0.812869,0.443639,
216,0.333498,0.458391,0.460762,0.4349,0.813388,0.446848,
217,0.333166,0.455512,0.454337,0.438503,0.813402,0.44803,
218,0.333437,0.455333,0.451722,0.439532,0.812819,0.448663,
219,0.330515,0.45805,0.452612,0.440007,0.810676,0.440372,
220,0.334865,0.461583,0.452261,0.441022,0.808519,0.439101,
221,0.331614,0.461703,0.449454,0.439573,0.807354,0.437104,
222,0.325712,0.458623,0.442066,0.442286,0.807723,0.43008,
223,0.327868,0.461222,0.439014,0.439164,0.809027,0.419458,
224,0.324606,0.461477,0.440385,0.438498,0.808441,0.420897,
225,0.323629,0.460979,0.435002,0.441747,0.806095,0.418356,
226,0.315602,0.45841,0.434916,0.437228,0.802056,0.409925,
227,0.314484,0.458189,0.434725,0.438599,0.803001,0.411827,
228,0.314373,0.458115,0.43814,0.441673,0.806577,0.411623,
229,0.314686,0.459088,0.442968,0.442576,0.803387,0.408521,
230,0.310312,0.456163,0.442157,0.441474,0.799519,0.407409,
231,0.310847,0.458587,0.442581,0.43886,0.798521,0.404508,
232,0.310485,0.457986,0.442031,0.438487,0.798302,0.408945,
233,0.306589,0.457839,0.445437,0.439476,0.798735,0.404936,
234,0.313339,0.458508,0.447648,0.439826,0.792485,0.401479,
235,0.314072,0.457629,0.44845,0.439878,0.789042,0.401581,
236,0.313617,0.455337,0.442966,0.440244,0.786382,0.401405,
237,0.313991,0.453261,0.44464,0.442197,0.786239,0.402823,
238,0.314114,0.452803,0.449525,0.441325,0.77981,0.401494,
239,0.314409,0.456261,0.453001,0.440582,0.783452,0.405894,
240,0.313481,0.458124,0.452126,0.440206,0.781267,0.406244,
241,0.311606,0.458731,0.45623,0.439006,0.77746,0.401389,
242,0.312099,0.458759,0.449336,0.440655,0.779351,0.402203,
243,0.311155,0.459028,0.451881,0.44332,0.778802,0.400153,
244,0.309248,0.458697,0.454018,0.438039,0.779937,0.400037,
245,0.307021,0.459171,0.454408,0.439792,0.779697,0.402004,
246,0.31111,0.461182,0.457597,0.438598,0.779013,0.397155,
247,0.310087,0.460655,0.458285,0.438483,0.779974,0.393908,
248,0.310254,0.462089,0.457385,0.439487,0.77998,0.393811,
249,0.310526,0.464894,0.445847,0.438382,0.781674,0.399645,
250,0.309703,0.464168,0.44734,0.43498,0.779109,0.410951,
251,0.311338,0.460523,0.450819,0.432741,0.779662,0.40967,
252,0.309419,0.462315,0.449537,0.436742,0.779316,0.412198,
253,0.308716,0.463135,0.447374,0.437175,0.778779,0.410071,
254,0.309692,0.463789,0.447645,0.439376,0.780558,0.411446,
255,0.310385,0.465735,0.446159,0.439778,0.777271,0.412546,
256,0.309423,0.467457,0.448743,0.443448,0.775615,0.411589,
257,0.3096,0.46776,0.450618,0.441789,0.77399,0.412619,
258,0.30989,0.468708,0.454888,0.444858,0.765517,0.4102,
259,0.307139,0.468111,0.453033,0.442627,0.76138,0.407942,
260,0.310495,0.467317,0.454658,0.443387,0.763773,0.408899,
261,0.311644,0.467011,0.453767,0.444601,0.767885,0.406958,
262,0.306592,0.468373,0.457288,0.438312,0.770333,0.391538,
263,0.308123,0.471555,0.457977,0.439979,0.770232,0.391978,
264,0.312276,0.469064,0.46211,0.441807,0.770272,0.396096,
265,0.313232,0.468009,0.463262,0.443154,0.771335,0.39093,
266,0.31241,0.468798,0.466721,0.442735,0.771166,0.390666,
267,0.314329,0.467017,0.472201,0.442209,0.771322,0.389825,
268,0.315593,0.468479,0.471718,0.442506,0.771324,0.390063,
269,0.311774,0.470507,0.47185,0.442207,0.770194,0.390237,
270,0.312451,0.466696,0.477749,0.441516,0.768978,0.388921,
271,0.309033,0.467531,0.48082,0.441023,0.768984,0.388057,
272,0.30558,0.462388,0.478067,0.441995,0.770065,0.386461,
273,0.314817,0.468188,0.49318,0.445148,0.770657,0.38266,
274,0.308406,0.467159,0.486036,0.450668,0.770416,0.38134,
275,0.307634,0.471911,0.485037,0.454263,0.770868,0.379022,
276,0.308905,0.471114,0.491612,0.458946,0.76991,0.376543,
277,0.317523,0.475343,0.496338,0.460599,0.772222,0.376307,
278,0.318461,0.475939,0.496977,0.4668,0.770991,0.373866,
279,0.318786,0.474737,0.496271,0.468354,0.773163,0.369164,
280,0.318961,0.472999,0.4961,0.471626,0.773641,0.367689,
281,0.316987,0.474564,0.494022,0.472059,0.772491,0.368998,
282,0.318143,0.474541,0.495456,0.477397,0.77533,0.368826,
283,0.317973,0.472117,0.495122,0.47443,0.775579,0.368782,
284,0.318516,0.474038,0.496168,0.480688,0.773344,0.369717,
285,0.319562,0.472802,0.491173,0.473769,0.772152,0.369468,
286,0.320166,0.472647,0.48955,0.471207,0.772333,0.368372,
287,0.320067,0.472666,0.488746,0.475505,0.770517,0.364743,
288,0.318526,0.475932,0.482889,0.477583,0.766838,0.361373,
289,0.320722,0.473418,0.486023,0.47264,0.770684,0.358107,
290,0.313632,0.471092,0.480468,0.473688,0.77057,0.355863,
291,0.315279,0.472111,0.480374,0.476616,0.771309,0.355486,
292,0.317609,0.469959,0.480431,0.475882,0.771487,0.359699,
293,0.321191,0.470455,0.481406,0.474228,0.771439,0.361182,
294,0.318125,0.468561,0.484066,0.473847,0.770682,0.361378,
295,0.319319,0.467586,0.481047,0.472037,0.770688,0.361055,
296,0.31671,0.471195,0.479709,0.473363,0.771107,0.361185,
297,0.316498,0.472385,0.47631,0.47153,0.772507,0.360879,
298,0.317072,0.471216,0.474918,0.471032,0.771438,0.359444,
299,0.317046,0.472434,0.473676,0.472211,0.773453,0.358547,
300,0.305894,0.476134,0.475975,0.472338,0.77325,0.357181,
301,0.305123,0.476183,0.478304,0.469803,0.772821,0.360218,
302,0.299193,0.475247,0.480589,0.471902,0.773162,0.356769,
303,0.295827,0.469208,0.480112,0.475776,0.773358,0.357216,
