Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#3: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#4: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#5: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#6: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#7: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#8: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
89,0.350765,0.525144,0.415296,0.465127,0.681279,0.543317,0.883233,0.525786,0.312708,0.836703,0.793436,0.572836,0.0950981,0.314014,0.791559,0.163578,0.0110941,0.0877893,0.522369,0.571996,0.609479,0.489368,0.247671,0.732816,
90,0.345895,0.523128,0.415191,0.459082,0.67543,0.543049,0.883618,0.525992,0.315864,0.838577,0.792773,0.57121,0.0991394,0.313771,0.785392,0.174891,0.0109343,0.0871502,0.523154,0.574269,0.60873,0.491017,0.247777,0.733473,
91,0.346664,0.525209,0.419843,0.457303,0.681493,0.540851,0.88465,0.526896,0.321954,0.835297,0.791682,0.571425,0.0993984,0.315083,0.777716,0.163723,0.0183763,0.0863296,0.526294,0.573826,0.607755,0.490143,0.248717,0.734397,
92,0.346847,0.52463,0.428047,0.45655,0.690325,0.540979,0.882387,0.526554,0.327436,0.834407,0.792241,0.57117,0.097929,0.313498,0.784843,0.164109,0.0187233,0.0867233,0.527301,0.571929,0.605978,0.488295,0.248236,0.737094,
93,0.347626,0.52586,0.426336,0.460921,0.696441,0.540433,0.883539,0.525879,0.332789,0.834396,0.792311,0.57356,0.105947,0.313257,0.784652,0.16394,0.0181656,0.0868172,0.526133,0.574317,0.608449,0.486984,0.247218,0.734098,
94,0.350224,0.525062,0.423874,0.463262,0.694485,0.540452,0.883349,0.527246,0.330677,0.836688,0.795364,0.574935,0.101489,0.312976,0.784761,0.170016,0.0191872,0.0728902,0.525454,0.574943,0.609023,0.489461,0.248048,0.735166,
95,0.351091,0.525028,0.424164,0.460135,0.678255,0.541152,0.883042,0.524373,0.328189,0.838058,0.796902,0.571698,0.100172,0.317664,0.784427,0.169513,0.0190753,0.0724923,0.52626,0.573697,0.60915,0.482593,0.24658,0.734149,
96,0.352454,0.524042,0.424939,0.458436,0.665539,0.541755,0.883408,0.528101,0.324748,0.838996,0.796982,0.57867,0.0999216,0.326201,0.784737,0.169822,0.0192432,0.0723267,0.525765,0.574062,0.60914,0.492744,0.239347,0.766361,
97,0.353477,0.523829,0.425144,0.458487,0.66855,0.541004,0.88298,0.53017,0.323941,0.839234,0.793998,0.575035,0.0996384,0.328012,0.7848,0.169915,0.0184985,0.0715492,0.523946,0.572908,0.605596,0.493384,0.241424,0.766082,
98,0.35036,0.522799,0.427173,0.452458,0.656259,0.543463,0.883323,0.529267,0.324973,0.839603,0.792939,0.577994,0.0997126,0.328975,0.785075,0.169045,0.0261618,0.072015,0.518718,0.567488,0.603635,0.492233,0.239896,0.765634,
99,0.366385,0.534926,0.424469,0.450941,0.650845,0.544592,0.882382,0.527935,0.328433,0.837821,0.793926,0.571878,0.0999173,0.319714,0.785752,0.170303,0.0195462,0.0716334,0.52442,0.565454,0.594712,0.489978,0.240803,0.765299,
